UniqueID,PeriodName,PeriodNumber,Date,Injury,Position,FieldTime,PlayerLoad,PlayerLoad2d,PlayerLoadSlow,PlayerLoad1dFwd,PlayerLoad1dSide,PlayerLoad1dUp,PlayerLoadMin,PlayerLoadMetre,ExertionIndex,PeakPlayerLoad
8988,Warm Up,1,1/11/2022,N,Midfielder,0:10:33,77.8826,43.9023,77.8273,23.3117,32.2194,56.6435,7.3789,0.0000,0.0000,2.4097
8988,"Receive, Turn, Pass",2,1/11/2022,N,Midfielder,0:10:21,74.2833,43.0374,74.1420,22.3405,32.0338,52.8588,7.1768,0.0000,0.0000,2.9011
8988,4v4+2 with Puggs,3,1/11/2022,N,Midfielder,0:11:29,94.1917,53.4974,93.7124,27.3682,40.3252,67.7482,8.1922,0.0000,0.0000,3.4728
8988,10v10+1,4,1/11/2022,N,Midfielder,0:05:47,64.4810,33.8420,64.4247,18.2949,24.6509,49.0188,11.1302,0.0000,0.0000,3.4119
9083,Session,0,1/11/2022,N,Forward,1:12:52,327.0252,191.3426,164.5022,100.9576,140.9326,229.0809,4.4870,0.1215,15.0345,5.4978
9083,Warm Up,1,1/11/2022,N,Forward,0:10:45,79.2065,49.8249,51.6519,25.6888,37.0827,52.4050,7.3586,0.1414,2.8509,5.4978
9083,"Receive, Turn, Pass",2,1/11/2022,N,Forward,1:02:07,247.8187,141.5177,112.8504,75.2688,103.8500,176.6759,3.9894,0.1163,12.1837,4.2925
9083,4v4+2 with Puggs,3,1/11/2022,N,Forward,1:12:52,321.8411,190.5922,180.6577,107.4942,134.5817,222.6353,4.4158,0.1155,14.8686,5.0052
9083,10v10+1,4,1/11/2022,N,Forward,0:10:45,45.4433,30.0950,41.1115,16.7442,21.5123,28.1467,4.2219,0.1105,1.0064,2.0707
9083,Session,0,1/11/2022,N,Forward,1:03:25,672.0852,414.7585,671.1087,260.5369,265.3291,459.4998,10.5926,0.0000,0.0000,5.3642
9083,Warm Up,1,1/11/2022,N,Forward,0:10:33,77.9083,47.5280,77.8650,28.4024,31.9853,53.7296,7.3813,0.0000,0.0000,3.7019
9083,"Receive, Turn, Pass",2,1/11/2022,N,Forward,0:10:21,76.3240,47.2692,76.1837,29.5790,30.4824,51.7579,7.3739,0.0000,0.0000,3.5594
9083,4v4+2 with Puggs,3,1/11/2022,N,Forward,0:11:29,114.0393,71.2394,113.5430,44.1783,46.3019,76.5886,9.9185,0.0000,0.0000,4.7010
9083,10v10+1,4,1/11/2022,N,Forward,0:31:02,403.8136,248.7219,403.5171,158.3772,156.5595,277.4237,13.0070,0.0000,0.0000,5.3642
9472,Session,0,1/11/2022,Y,Centre Back,0:33:34,301.4566,172.7473,301.4120,89.2740,129.3059,218.7902,8.9775,378.7145,1.0632,4.4624
9472,Warm Up,1,1/11/2022,Y,Centre Back,0:09:43,96.6075,56.6936,96.5742,29.9190,41.7918,68.8746,9.9258,0.0000,0.3080,4.6378
9472,"Receive, Turn, Pass",2,1/11/2022,Y,Centre Back,1:12:11,543.6438,366.1041,542.9800,167.5206,291.3052,342.0163,7.5253,0.0000,0.0000,5.0707
9472,4v4+2 with Puggs,3,1/11/2022,Y,Centre Back,0:10:10,65.0914,47.8807,64.7698,20.6367,39.1789,37.3939,6.4024,0.0000,0.0000,2.3462
9472,10v10+1,4,1/11/2022,Y,Centre Back,0:05:54,32.3864,23.1755,32.3543,11.8260,17.4673,18.8640,5.4860,0.0000,0.0000,3.1244
9472,Session,0,1/11/2022,Y,Centre Back,1:03:25,521.9699,330.4800,521.2186,178.9448,239.5662,345.5272,8.2266,0.0000,0.0000,4.4726
9472,Warm Up,1,1/11/2022,Y,Centre Back,0:10:33,74.0424,46.0951,73.9980,25.2009,33.3368,49.9216,7.0150,0.0000,0.0000,3.2451
9472,"Receive, Turn, Pass",2,1/11/2022,Y,Centre Back,0:10:21,74.6996,47.1042,74.6169,25.3529,34.2832,49.5111,7.2170,0.0000,0.0000,2.8443
9472,4v4+2 with Puggs,3,1/11/2022,Y,Centre Back,0:11:29,95.1638,61.6408,94.6037,33.0533,45.0891,61.3060,8.2768,0.0000,0.0000,3.4769
9472,10v10+1,4,1/11/2022,Y,Centre Back,0:31:02,278.0641,175.6399,278.0000,95.3378,126.8570,184.7885,8.9566,0.0000,0.0000,4.4726
10340,Session,0,1/11/2022,N,Forward,0:06:18,34.5889,19.3813,34.5957,11.6303,12.9028,25.2325,5.4903,21.4571,0.2401,3.4043
10340,Warm Up,1,1/11/2022,N,Forward,0:05:45,38.6439,23.5887,38.6704,11.7545,17.9942,26.7129,6.7207,12.2523,0.2234,2.0135
10340,"Receive, Turn, Pass",2,1/11/2022,N,Forward,0:22:58,193.1983,117.1415,193.1401,65.8666,82.4913,133.6784,8.4084,1.4055,0.8954,4.2590
10340,4v4+2 with Puggs,3,1/11/2022,N,Forward,0:10:46,62.9094,38.9749,62.8377,20.1592,29.0588,42.8661,5.8353,1.9855,0.4115,2.9374
10340,10v10+1,4,1/11/2022,N,Forward,0:21:29,222.8289,131.8853,216.9829,73.4360,93.8620,157.8099,10.3681,7.4266,1.0514,4.3071
10340,Session,0,1/11/2022,N,Forward,1:03:25,641.1755,394.6120,640.0985,230.0575,273.0249,437.3527,10.1054,0.0000,0.0000,5.4581
10340,Warm Up,1,1/11/2022,N,Forward,0:10:33,73.1356,43.0971,73.0481,24.8857,29.7899,51.1180,6.9291,0.0000,0.0000,3.3895
10340,"Receive, Turn, Pass",2,1/11/2022,N,Forward,0:10:21,86.1253,52.1000,85.9089,30.2595,36.0163,58.7193,8.3209,0.0000,0.0000,3.4295
10340,4v4+2 with Puggs,3,1/11/2022,N,Forward,0:11:29,109.2753,68.3872,108.7401,39.1021,47.8394,72.9702,9.5041,0.0000,0.0000,4.4691
10340,10v10+1,4,1/11/2022,N,Forward,0:31:02,372.6393,231.0277,372.4014,135.8101,159.3793,254.5452,12.0029,0.0000,0.0000,5.4581
10575,Session,0,1/11/2022,N,Forward,0:11:52,101.5913,58.6642,101.3289,31.0909,43.0469,72.5299,8.5481,0.0000,0.4604,3.5047
10575,Warm Up,1,1/11/2022,N,Forward,0:26:43,249.9611,139.0205,249.7044,75.9064,99.9278,184.1055,9.3491,0.0000,1.0373,3.7834
10575,"Receive, Turn, Pass",2,1/11/2022,N,Forward,1:14:36,375.7239,227.7308,375.0210,132.6462,157.4234,256.4304,5.0326,107.5956,1.9192,4.5244
10575,4v4+2 with Puggs,3,1/11/2022,N,Forward,0:12:39,66.5750,40.1168,66.4959,23.1881,27.8388,45.6081,5.2596,0.0000,0.0000,1.8601
10575,10v10+1,4,1/11/2022,N,Forward,0:12:54,67.0316,40.3157,66.8757,22.8805,28.3924,46.0863,5.1934,98.1430,0.0787,1.8807
10575,Session,0,1/11/2022,N,Forward,1:03:25,624.0550,374.0750,623.5126,187.4455,283.1765,428.7710,9.8356,0.0000,0.0000,7.6896
10575,Warm Up,1,1/11/2022,N,Forward,0:10:33,77.8249,46.5692,77.8014,23.2420,35.4123,53.7568,7.3734,0.0000,0.0000,2.9440
10575,"Receive, Turn, Pass",2,1/11/2022,N,Forward,0:10:21,76.5459,45.1021,76.3446,23.4266,33.4528,53.6241,7.3954,0.0000,0.0000,3.4595
10575,4v4+2 with Puggs,3,1/11/2022,N,Forward,0:11:29,102.6441,62.6785,102.3864,31.0478,47.7101,69.5885,8.9274,0.0000,0.0000,4.3377
10575,10v10+1,4,1/11/2022,N,Forward,0:31:02,367.0400,219.7251,366.9802,109.7291,166.6013,251.8016,11.8225,0.0000,0.0000,7.6896
11207,Session,0,1/11/2022,N,Midfielder,1:16:16,639.2926,397.5652,638.3343,232.8684,273.0310,434.7960,8.3722,0.0000,0.0000,4.5144
11207,Warm Up,1,1/11/2022,N,Midfielder,0:12:23,65.2565,40.9631,65.1242,23.3216,28.6219,43.5145,5.2630,0.0000,0.0000,2.6695
